曲名,アーティスト名,正規化曲名,正規化アーティスト,曲キー,ジャンル,キー,歌唱回数,最初に歌った日,最後に歌った日,英語タイトル,備考
灰色と青,米津玄師,灰色と青,米津玄師,灰色と青 / 米津玄師,,,27,2021/09/06,2025/11/17,Haiiro to ao,
馬と鹿,米津玄師,馬と鹿,米津玄師,馬と鹿 / 米津玄師,,,21,2021/09/08,2025/11/17,Uma to Shika,
JANE DOE,"米津玄師,宇多田ヒカル",JANE DOE,"米津玄師,宇多田ヒカル","JANE DOE / 米津玄師,宇多田ヒカル",,,15,2025/11/10,2026/04/28,,
もののけ姫,米良美一,もののけ姫,米良美一,もののけ姫 / 米良美一,,,1,2021/11/20,2021/11/20,Mononoke hime,
お願いマッスル,紗倉ひびき(ファイルーズあい)&街雄鳴造(石川界人),お願いマッスル,紗倉ひびき(ファイルーズあい)&街雄鳴造(石川界人),お願いマッスル / 紗倉ひびき(ファイルーズあい)&街雄鳴造(石川界人),,,5,2021/10/17,2025/03/05,Onegai Muscle,
メイジ・オブ・ヴァイオレット,紫咲シオン,メイジ・オブ・ヴァイオレット,紫咲シオン,メイジ・オブ・ヴァイオレット / 紫咲シオン,,,1,2024/07/03,2024/07/03,Mage of Violet,
あのバンド,結束バンド,あのバンド,結束バンド,あのバンド / 結束バンド,,,12,2023/06/30,2025/07/15,Ano band,
ギターと孤独と蒼い惑星,結束バンド,ギターと孤独と蒼い惑星,結束バンド,ギターと孤独と蒼い惑星 / 結束バンド,,,21,2022/12/26,2025/04/06,Guitar to Kodoku to Aoi Wakusei,
光の中へ,結束バンド,光の中へ,結束バンド,光の中へ / 結束バンド,,,4,2023/06/30,2024/01/21,Hikari no naka e,
忘れてやらない,結束バンド,忘れてやらない,結束バンド,忘れてやらない / 結束バンド,,,17,2024/02/02,2026/03/02,Wasurete yaranai,
星座になれたら,結束バンド,星座になれたら,結束バンド,星座になれたら / 結束バンド,,,33,2023/01/29,2026/03/02,Seiza ni naretara,
青春コンプレックス,結束バンド,青春コンプレックス,結束バンド,青春コンプレックス / 結束バンド,,,14,2023/04/29,2026/03/02,Seisyun Complex,
I believe,絢香,I believe,絢香,I believe / 絢香,,,10,2021/10/02,2026/03/12,,
にじいろ,絢香,にじいろ,絢香,にじいろ / 絢香,,,11,2022/02/09,2025/06/30,niji iro,
みんな空の下,絢香,みんな空の下,絢香,みんな空の下 / 絢香,,,5,2022/12/27,2025/09/25,Minna sora no shita,
三日月,絢香,三日月,絢香,三日月 / 絢香,,,37,2021/09/10,2026/04/28,Mikazuki,
Mela!,緑黄色社会,Mela!,緑黄色社会,Mela! / 緑黄色社会,,,40,2021/10/15,2026/03/16,,
花になって,緑黄色社会,花になって,緑黄色社会,花になって / 緑黄色社会,,,31,2023/11/29,2026/04/27,Hana ni natte,
カワキヲアメク,美波,カワキヲアメク,美波,カワキヲアメク / 美波,,,20,2021/09/17,2026/01/19,Kawaki o ameku,
懺悔参り,羽生まゐご,懺悔参り,羽生まゐご,懺悔参り / 羽生まゐご,,,10,2021/10/24,2025/09/20,Zange mairi,
阿吽のビーツ,羽生まゐご,阿吽のビーツ,羽生まゐご,阿吽のビーツ / 羽生まゐご,,,9,2021/12/23,2025/09/20,Aun no Beats,
Lie,茨むあん,Lie,茨むあん,Lie / 茨むあん,,,5,2025/10/31,2026/04/13,,
Sanity,茨むあん,Sanity,茨むあん,Sanity / 茨むあん,,,1,2026/02/02,2026/02/02,,
catch-22,茨むあん,catch-22,茨むあん,catch-22 / 茨むあん,,,1,2026/04/20,2026/04/20,,
gift,茨むあん,gift,茨むあん,gift / 茨むあん,,,4,2024/12/22,2025/07/12,,
また、脆い夢を見てた,茨むあん,また、脆い夢を見てた,茨むあん,また、脆い夢を見てた / 茨むあん,,,2,2025/05/02,2025/06/28,Mata moroi yume wo miteita,
シルク,茨むあん,シルク,茨むあん,シルク / 茨むあん,,,13,2024/11/22,2026/04/13,Silk,
ハッピーエンドで眠らせて,茨むあん,ハッピーエンドで眠らせて,茨むあん,ハッピーエンドで眠らせて / 茨むあん,,,1,2026/02/02,2026/02/02,Happyend de nemurasete,
眠り姫,茨むあん,眠り姫,茨むあん,眠り姫 / 茨むあん,,,18,2023/05/05,2026/02/02,Sleeping Beauty,
眠り姫 Acoustic Ver.,茨むあん,眠り姫 Acoustic Ver.,茨むあん,眠り姫 Acoustic Ver. / 茨むあん,,,1,2026/03/24,2026/03/24,Sleeping Beauty,
さよならエレジー,菅田将暉,さよならエレジー,菅田将暉,さよならエレジー / 菅田将暉,,,13,2021/09/08,2026/02/08,Sayonara Elegy,
マル・マル・モリ・モリ!,薫と友樹、たまにムック。,マル・マル・モリ・モリ!,薫と友樹、たまにムック。,マル・マル・モリ・モリ! / 薫と友樹、たまにムック。,,,1,2022/06/15,2022/06/15,Maru Maru Mori Mori,
IGNITE,藍井エイル,IGNITE,藍井エイル,IGNITE / 藍井エイル,,,8,2025/02/19,2026/03/30,,
INNOCENCE,藍井エイル,INNOCENCE,藍井エイル,INNOCENCE / 藍井エイル,,,9,2024/06/11,2026/03/13,,
ラピスラズリ,藍井エイル,ラピスラズリ,藍井エイル,ラピスラズリ / 藍井エイル,,,19,2022/06/18,2026/03/30,lapis lazuli,
崖の上のポニョ,藤岡藤巻と大橋のぞみ,崖の上のポニョ,藤岡藤巻と大橋のぞみ,崖の上のポニョ / 藤岡藤巻と大橋のぞみ,,,7,2021/10/31,2025/10/20,Gake no ue no Ponyo,
え？あぁ、そう。,蝶々P,え？あぁ、そう。,蝶々P,え？あぁ、そう。 / 蝶々P,,,9,2021/10/16,2025/05/20,"E? Aa, Sou.",
心做し,蝶々P,心做し,蝶々P,心做し / 蝶々P,,,37,2021/07/11,2026/04/27,Kokoronashi,
心拍数＃0822,蝶々P,心拍数＃0822,蝶々P,心拍数＃0822 / 蝶々P,,,31,2021/07/11,2026/02/20,Heart Rate＃0822,
Darling,西野カナ,Darling,西野カナ,Darling / 西野カナ,,,2,2022/05/23,2023/03/24,,
GO FOR IT!!,西野カナ,GO FOR IT!!,西野カナ,GO FOR IT!! / 西野カナ,,,2,2023/03/20,2024/12/17,,
トリセツ,西野カナ,トリセツ,西野カナ,トリセツ / 西野カナ,,,7,2021/09/04,2025/09/25,Torisetsu,
会いたくて 会いたくて,西野カナ,会いたくて 会いたくて,西野カナ,会いたくて 会いたくて / 西野カナ,,,5,2021/11/20,2026/03/30,Aitakute aitakute,
月のワルツ,諌山実生,月のワルツ,諌山実生,月のワルツ / 諌山実生,,,41,2021/09/04,2026/01/27,Tsuki No Waltz,
最上級にかわいいの！,超ときめき♡宣伝部,最上級にかわいいの！,超ときめき♡宣伝部,最上級にかわいいの！ / 超ときめき♡宣伝部,,,13,2024/10/08,2026/02/16,Saijoukyuu ni Kawaiino!,
Realize,鈴木このみ,Realize,鈴木このみ,Realize / 鈴木このみ,,,5,2022/03/18,2025/07/28,,
This game,鈴木このみ,This game,鈴木このみ,This game / 鈴木このみ,,,18,2022/03/13,2025/10/21,,
いろは唄,銀サク,いろは唄,銀サク,いろは唄 / 銀サク,,,14,2021/10/16,2026/04/27,Iroha uta,
白金ディスコ,阿良々木月火(井口裕香),白金ディスコ,阿良々木月火(井口裕香),白金ディスコ / 阿良々木月火(井口裕香),,,19,2021/10/08,2025/10/06,Platina Disco,
貴方の恋人になりたいのです,阿部真央,貴方の恋人になりたいのです,阿部真央,貴方の恋人になりたいのです / 阿部真央,,,6,2024/12/09,2025/10/07,Anata no koibito ni naritai no desu,
夢町コントラスト,電ポルP,夢町コントラスト,電ポルP,夢町コントラスト / 電ポルP,,,5,2024/05/22,2026/04/28,Yume Machi Contrast,
曖昧劣情Lover,電ポルP,曖昧劣情Lover,電ポルP,曖昧劣情Lover / 電ポルP,,,10,2021/08/27,2025/10/21,Aimai Retsujou Lover,
ダーリン,須田景凪,ダーリン,須田景凪,ダーリン / 須田景凪,,,21,2023/06/30,2026/03/12,Darling,
パメラ,須田景凪,パメラ,須田景凪,パメラ / 須田景凪,,,12,2021/12/23,2026/04/20,Pamela,
雨とペトラ,須田景凪,雨とペトラ,須田景凪,雨とペトラ / 須田景凪,,,9,2022/05/27,2025/12/13,Ame to Petra,
君色々移り,風男塾,君色々移り,風男塾,君色々移り / 風男塾,,,8,2021/12/23,2025/08/05,Kimi Iroiro Utsuri,
キャットラビング,香椎モイミ,キャットラビング,香椎モイミ,キャットラビング / 香椎モイミ,,,27,2022/05/09,2026/04/11,Cat Rubbing,
残酷な天使のテーゼ,高橋洋子,残酷な天使のテーゼ,高橋洋子,残酷な天使のテーゼ / 高橋洋子,,,28,2021/06/11,2026/04/17,A Cruel Angel's Thesis,
魂のルフラン,高橋洋子,魂のルフラン,高橋洋子,魂のルフラン / 高橋洋子,,,20,2021/08/29,2025/12/27,Soul's Refrain,
月光,鬼束ちひろ,月光,鬼束ちひろ,月光 / 鬼束ちひろ,,,22,2023/10/20,2026/03/24,Gekkou,
ACUTE,黒うさP,ACUTE,黒うさP,ACUTE / 黒うさP,,,1,2025/10/09,2025/10/09,,
カンタレラ,黒うさP,カンタレラ,黒うさP,カンタレラ / 黒うさP,,,13,2021/06/18,2025/10/09,Cantarella,
リスキーゲーム,黒うさP,リスキーゲーム,黒うさP,リスキーゲーム / 黒うさP,,,12,2022/01/03,2025/07/31,Risky Game,
千本桜,黒うさP,千本桜,黒うさP,千本桜 / 黒うさP,,,17,2021/06/18,2026/03/30,Senbonzakura,
恋愛フィロソフィア,黒うさP,恋愛フィロソフィア,黒うさP,恋愛フィロソフィア / 黒うさP,,,5,2021/06/18,2026/01/15,Ren'ai Philosophia,
