曲名,アーティスト名,正規化曲名,正規化アーティスト,曲キー,ジャンル,キー,歌唱回数,最初に歌った日,最後に歌った日,英語タイトル,備考
風になる,つじあやの,風になる,つじあやの,風になる / つじあやの,,,36,2021/08/10,2025/08/21,Kaze ni Naru,
ザムザ,てにをは,ザムザ,てにをは,ザムザ / てにをは,,,13,2024/02/12,2026/03/13,Zamuza,
ヴィラン,てにをは,ヴィラン,てにをは,ヴィラン / てにをは,,,19,2021/05/14,2026/03/23,Villain,
ツギハギスタッカート,とあ,ツギハギスタッカート,とあ,ツギハギスタッカート / とあ,,,24,2021/06/18,2025/10/09,Tsugihagi Staccato,
ミュージックミュージック,とあ,ミュージックミュージック,とあ,ミュージックミュージック / とあ,,,10,2022/04/29,2026/01/15,Music Music,
ようこそジャパリパークへ,どうぶつビスケッツ×PPP,ようこそジャパリパークへ,どうぶつビスケッツ×PPP,ようこそジャパリパークへ / どうぶつビスケッツ×PPP,,,1,2023/02/01,2023/02/01,Welcome to the Japari Park,
お呪い,なきそ,お呪い,なきそ,お呪い / なきそ,,,5,2024/10/26,2025/09/20,Omajinai,
ド屑,なきそ,ド屑,なきそ,ド屑 / なきそ,,,5,2022/07/19,2025/05/31,Dokuzu,
Overdose,なとり,Overdose,なとり,Overdose / なとり,,,30,2022/11/27,2026/03/12,,
プロポーズ,なとり,プロポーズ,なとり,プロポーズ / なとり,,,3,2026/02/18,2026/04/02,propose,
"rain stops, good-bye",におP,"rain stops, good-bye",におP,"rain stops, good-bye / におP",,,19,2021/09/15,2025/07/31,,
ターミナル,ぬゆり,ターミナル,ぬゆり,ターミナル / ぬゆり,,,13,2021/06/18,2025/04/18,Terminal,
フィクサー,ぬゆり,フィクサー,ぬゆり,フィクサー / ぬゆり,,,15,2021/11/24,2026/03/23,Fixer,
フラジール,ぬゆり,フラジール,ぬゆり,フラジール / ぬゆり,,,10,2022/01/06,2025/10/09,Fragile,
プロトディスコ,ぬゆり,プロトディスコ,ぬゆり,プロトディスコ / ぬゆり,,,15,2021/06/18,2026/04/13,Proto Disco,
ロウワー,ぬゆり,ロウワー,ぬゆり,ロウワー / ぬゆり,,,32,2022/03/10,2026/01/19,Lower,
命ばっかり,ぬゆり,命ばっかり,ぬゆり,命ばっかり / ぬゆり,,,1,2026/03/09,2026/03/09,Inochi Bakkari,
自傷無色,ねこぼーろ,自傷無色,ねこぼーろ,自傷無色 / ねこぼーろ,,,4,2021/06/18,2025/07/11,Jishou musyoku,
ショットガン・ラヴァーズ,のぼる↑,ショットガン・ラヴァーズ,のぼる↑,ショットガン・ラヴァーズ / のぼる↑,,,2,2023/04/30,2026/03/09,Shotgun Lovers,
モノクロ∞ブルースカイ,のぼる↑,モノクロ∞ブルースカイ,のぼる↑,モノクロ∞ブルースカイ / のぼる↑,,,2,2026/01/15,2026/02/12,Monochrome∞Bluesky,
白い雪のプリンセスは,のぼる↑,白い雪のプリンセスは,のぼる↑,白い雪のプリンセスは / のぼる↑,,,39,2021/05/28,2025/12/12,Shiroi Yuki no Purinsesu wa,
右肩の蝶,のりP,右肩の蝶,のりP,右肩の蝶 / のりP,,,21,2021/06/18,2026/03/09,Migikata no Chou,
声,はりー,声,はりー,声 / はりー,,,14,2021/07/21,2026/04/02,Koe,
メルティランドナイトメア,はるまきごはん,メルティランドナイトメア,はるまきごはん,メルティランドナイトメア / はるまきごはん,,,3,2025/12/16,2026/03/09,Melty Land Nightmare,
八月のレイニー,はるまきごはん,八月のレイニー,はるまきごはん,八月のレイニー / はるまきごはん,,,11,2021/08/07,2025/08/14,Hachigatsu no Rainy,
Alice in N.Y.,ひとしずくP×やま△,Alice in N.Y.,ひとしずくP×やま△,Alice in N.Y. / ひとしずくP×やま△,,,2,2022/03/08,2025/09/29,,
Bad ∞ End ∞ Night,ひとしずくP×やま△,Bad ∞ End ∞ Night,ひとしずくP×やま△,Bad ∞ End ∞ Night / ひとしずくP×やま△,,,1,2021/10/06,2021/10/06,,
おおかみは赤ずきんに恋をした,ひとしずくP×やま△,おおかみは赤ずきんに恋をした,ひとしずくP×やま△,おおかみは赤ずきんに恋をした / ひとしずくP×やま△,,,1,2024/03/08,2024/03/08,Ookami wa Akazukin ni Koi o Shita,
四季折の羽,ひとしずくP×やま△,四季折の羽,ひとしずくP×やま△,四季折の羽 / ひとしずくP×やま△,,,28,2021/08/16,2026/04/28,Shikiori no Hane,
ねぇ。,ほえほえP,ねぇ。,ほえほえP,ねぇ。 / ほえほえP,,,3,2021/10/06,2022/11/18,Nee.,
アストロノーツ,ぽわぽわP,アストロノーツ,ぽわぽわP,アストロノーツ / ぽわぽわP,,,3,2021/09/20,2025/09/05,Astronauts,
ジグソーパズル,まふまふ,ジグソーパズル,まふまふ,ジグソーパズル / まふまふ,,,6,2021/08/16,2023/02/10,Jigsaw Puzzle,
ナイティナイト,まふまふ,ナイティナイト,まふまふ,ナイティナイト / まふまふ,,,6,2021/10/06,2025/11/06,Nighty Night,
ハローディストピア,まふまふ,ハローディストピア,まふまふ,ハローディストピア / まふまふ,,,6,2021/07/17,2024/10/16,Hello Dystopia,
メリーバッドエンド,まふまふ,メリーバッドエンド,まふまふ,メリーバッドエンド / まふまふ,,,3,2021/10/18,2022/07/14,Merry Bad End,
女の子になりたい,まふまふ,女の子になりたい,まふまふ,女の子になりたい / まふまふ,,,11,2021/11/05,2025/03/05,Onnanoko ni naritai,
廃墟の国のアリス,まふまふ,廃墟の国のアリス,まふまふ,廃墟の国のアリス / まふまふ,,,2,2022/01/26,2023/07/14,Haikyo no Kuni no Alice,
曼珠沙華,まふまふ,曼珠沙華,まふまふ,曼珠沙華 / まふまふ,,,2,2021/07/31,2022/01/16,Manjushage,
朧月,まふまふ,朧月,まふまふ,朧月 / まふまふ,,,7,2021/08/27,2024/12/16,Oboro zuki,
輪廻転生,まふまふ,輪廻転生,まふまふ,輪廻転生 / まふまふ,,,8,2021/08/27,2024/09/16,Rinnetensei,
かまってちょーだい,まふまふ×天月,かまってちょーだい,まふまふ×天月,かまってちょーだい / まふまふ×天月,,,21,2021/08/27,2023/10/31,Kamatte chodai,
PLATONIC GIRL,みきとP,PLATONIC GIRL,みきとP,PLATONIC GIRL / みきとP,,,5,2021/11/03,2026/04/27,,
いーあるふぁんくらぶ,みきとP,いーあるふぁんくらぶ,みきとP,いーあるふぁんくらぶ / みきとP,,,19,2021/07/11,2026/03/09,"1, 2 Fanclub",
アカイト,みきとP,アカイト,みきとP,アカイト / みきとP,,,6,2022/02/18,2025/04/11,Akaito,
サリシノハラ,みきとP,サリシノハラ,みきとP,サリシノハラ / みきとP,,,38,2021/06/18,2026/02/18,Sarishinohara,
バレリーコ,みきとP,バレリーコ,みきとP,バレリーコ / みきとP,,,19,2021/07/02,2025/11/23,Barerii Ko,
ロキ,みきとP,ロキ,みきとP,ロキ / みきとP,,,25,2021/05/28,2026/03/30,Loki,
世田谷ナイトサファリ,みきとP,世田谷ナイトサファリ,みきとP,世田谷ナイトサファリ / みきとP,,,7,2022/03/15,2025/12/17,Setagaya Night Safari,
夏の半券,みきとP,夏の半券,みきとP,夏の半券 / みきとP,,,7,2021/06/18,2025/09/13,Natsu no Hanken,
夕立のりぼん,みきとP,夕立のりぼん,みきとP,夕立のりぼん / みきとP,,,27,2021/10/16,2026/04/04,Yuudachi no Ribbon,
小夜子,みきとP,小夜子,みきとP,小夜子 / みきとP,,,34,2021/09/15,2026/04/28,Sayoko,
少女レイ,みきとP,少女レイ,みきとP,少女レイ / みきとP,,,63,2021/08/07,2026/01/22,Shoujorei,
月陽-ツキアカリ-,みきとP,月陽-ツキアカリ-,みきとP,月陽-ツキアカリ- / みきとP,,,27,2021/12/23,2026/04/04,Tsukiakari,
嗤うマネキン,みやけ（ナポリP）,嗤うマネキン,みやけ（ナポリP）,嗤うマネキン / みやけ（ナポリP）,,,7,2021/06/18,2025/09/05,Warau Mannequin,
ヴィクター,めいちゃん,ヴィクター,めいちゃん,ヴィクター / めいちゃん,,,1,2023/08/27,2023/08/27,Victor,
小悪魔だってかまわない！,めいちゃん,小悪魔だってかまわない！,めいちゃん,小悪魔だってかまわない！ / めいちゃん,,,18,2023/02/10,2026/03/16,Koakuma Datte Kamawanai,
うそつき,めざめP,うそつき,めざめP,うそつき / めざめP,,,36,2021/06/18,2026/01/15,Usotsuki,
ぎゅっと。,もさを。,ぎゅっと。,もさを。,ぎゅっと。 / もさを。,,,24,2021/07/17,2026/04/02,Gyutto.,
さよならミッドナイト,もじゃ,さよならミッドナイト,もじゃ,さよならミッドナイト / もじゃ,,,10,2022/06/19,2026/03/30,Sayonara Midnight,
ドナーソング,もじゃ,ドナーソング,もじゃ,ドナーソング / もじゃ,,,5,2021/10/18,2024/08/21,Donor Song,
妄想疾患■ガール,もじゃ,妄想疾患■ガール,もじゃ,妄想疾患■ガール / もじゃ,,,1,2022/03/08,2022/03/08,Mousou Shikkan ■ Girl,
行くぜっ!怪盗少女,ももいろクローバーZ,行くぜっ!怪盗少女,ももいろクローバーZ,行くぜっ!怪盗少女 / ももいろクローバーZ,,,3,2022/08/20,2024/07/10,Ikuze! Kaitou syoujo,
〇〇〇〇〇,やいり,〇〇〇〇〇,やいり,〇〇〇〇〇 / やいり,,,7,2021/06/18,2024/05/22,,
深海少女,ゆうゆ,深海少女,ゆうゆ,深海少女 / ゆうゆ,,,29,2021/08/16,2026/03/30,Shinkai Shoujo,
天樂,ゆうゆP,天樂,ゆうゆP,天樂 / ゆうゆP,,,17,2021/06/18,2025/01/04,Tengaku,
天樂 -双響-,ゆうゆP,天樂 -双響-,ゆうゆP,天樂 -双響- / ゆうゆP,,,4,2025/08/08,2026/01/19,Tengaku soukyou,
強風オールバック,ゆこぴ,強風オールバック,ゆこぴ,強風オールバック / ゆこぴ,,,9,2023/06/06,2024/09/05,Kyoufuu All Back,
ヨンジュウナナ,りぶ,ヨンジュウナナ,りぶ,ヨンジュウナナ / りぶ,,,1,2023/05/05,2023/05/05,Yonjuu Nana,
厨病激発ボーイ,れるりり,厨病激発ボーイ,れるりり,厨病激発ボーイ / れるりり,,,5,2022/01/03,2025/06/26,Chuubyou Gekihatsu Boy,
神のまにまに,れるりり,神のまにまに,れるりり,神のまにまに / れるりり,,,7,2022/01/03,2025/10/06,Kami no manimani,
脳漿炸裂ガール,れるりり,脳漿炸裂ガール,れるりり,脳漿炸裂ガール / れるりり,,,2,2022/12/10,2023/03/08,Noushou Sakuretsu Girl,
Mr.Music,れるりり・ロンチーノ=ペペ・かごめP,Mr.Music,れるりり・ロンチーノ=ペペ・かごめP,Mr.Music / れるりり・ロンチーノ=ペペ・かごめP,,,1,2022/08/05,2022/08/05,,
drop pop candy,"れをる,ギガP feat. 鏡音リン,巡音ルカ",drop pop candy,"れをる,ギガP feat. 鏡音リン,巡音ルカ","drop pop candy / れをる,ギガP feat. 鏡音リン,巡音ルカ",,,3,2021/07/31,2024/12/16,,
スロウダウナー,ろくろ,スロウダウナー,ろくろ,スロウダウナー / ろくろ,,,11,2021/09/13,2025/09/08,Slow Downer,
革命道中,アイナ・ジ・エンド,革命道中,アイナ・ジ・エンド,革命道中 / アイナ・ジ・エンド,,,14,2025/12/01,2026/04/11,Kakumei Douchu,
ダブルラリアット,アゴアニキP,ダブルラリアット,アゴアニキP,ダブルラリアット / アゴアニキP,,,7,2021/10/16,2025/11/29,Double Lariat,
森のくまさん,アメリカ民謡,森のくまさん,アメリカ民謡,森のくまさん / アメリカ民謡,,,10,2021/09/23,2022/08/21,Mori no kumasan,
晴天前夜,ウォルピスカーター,晴天前夜,ウォルピスカーター,晴天前夜 / ウォルピスカーター,,,27,2021/10/09,2026/02/06,Eve of the Sun,
泥中に咲く,ウォルピスカーター,泥中に咲く,ウォルピスカーター,泥中に咲く / ウォルピスカーター,,,5,2021/10/11,2026/04/20,Deichuu ni Saku,
トルコ行進曲 - オワタ＼(^o^)／,オワタP,トルコ行進曲 - オワタ＼(^o^)／,オワタP,トルコ行進曲 - オワタ＼(^o^)／ / オワタP,,,3,2022/11/23,2023/07/04,Turkish March,
パラジクロロベンゼン,オワタP,パラジクロロベンゼン,オワタP,パラジクロロベンゼン / オワタP,,,6,2022/11/24,2026/01/15,Paradichlorobenzene,
君じゃなきゃダメみたい,オーイシマサヨシ,君じゃなきゃダメみたい,オーイシマサヨシ,君じゃなきゃダメみたい / オーイシマサヨシ,,,8,2021/10/17,2026/02/07,Kimi janakya dame mitai,
ジャバヲッキー・ジャバヲッカ,カラスヤサボウ,ジャバヲッキー・ジャバヲッカ,カラスヤサボウ,ジャバヲッキー・ジャバヲッカ / カラスヤサボウ,,,1,2021/10/16,2021/10/16,Jabberwocky Jabberwocka,
迷々,カラスヤサボウ,迷々,カラスヤサボウ,迷々 / カラスヤサボウ,,,31,2021/07/17,2026/03/09,Meimei,
あの夏が飽和する。,カンザキイオリ,あの夏が飽和する。,カンザキイオリ,あの夏が飽和する。 / カンザキイオリ,,,1,2022/07/23,2022/07/23,Ano natsu ga houwa suru.,
命に嫌われている。,カンザキイオリ,命に嫌われている。,カンザキイオリ,命に嫌われている。 / カンザキイオリ,,,29,2021/05/14,2026/03/30,Inochi ni Kirawarete iru.,
ずうっといっしょ！,キタニタツヤ,ずうっといっしょ！,キタニタツヤ,ずうっといっしょ！ / キタニタツヤ,,,1,2025/07/31,2025/07/31,Zutto issyo,
